task,type,count,mean,std,median,5perc,95perc,min,max
ssvep,damping,810,5.1739,10.6351,2.921,0.3887,14.5086,0,94.918
ssvep,frequency,720,457.0745,564.2017,269.6815,15.0703,1699.2093,11.107,3424.271
ssvep,gain,1080,489.7927,1010.038,11.14,0.6528,2710.7429,0.261,9381.925
ssvep,noise_std,180,261226.2622,822427.3411,0.3525,0.0357,2.13E+06,0.006,4.45E+06
ssvep,offset,570,153.3752,446.797,3.115,0,1331.0702,0,2696.524
ssvep,poly_coeff,1350,15.6137,123.9628,1.764,-16.994,49.9005,-280.567,1560.761
ssvep,population_coupling,2790,192.3407,1244.8157,1.778,-3.6457,435.0992,-103.15,23029.775
ssvep,potential,690,-38.8543,114.9539,0.058,-272.5197,66.2964,-654.268,348.001
ssvep,probability,30,0.5583,0.4494,0.3925,0.1026,1.4256,0.088,1.555
ssvep,rate,810,145.1396,420.6122,1.1925,0.1854,894.2462,0.026,3826.658
ssvep,time_constant,240,0.5659,1.9673,0.022,0.011,3.5145,0.006,13.425
ssvep,tscale,180,34.5385,36.6405,25.063,2.1358,144.2752,1.763,154.595
rest,damping,810,4.7555,12.0054,2.425,0.276,12.6586,0,183.971
rest,frequency,720,304.2765,378.1208,176.7015,16.9524,989.0958,9.56,3369.193
rest,gain,1080,458.5749,953.2422,9.8145,0.662,2444.1684,0.11,8303.467
rest,noise_std,180,210974.3749,622824.7786,0.3435,0.024,1.68E+06,0.007,3.90E+06
rest,offset,570,116.0965,370.193,2.174,0,1304.0673,0,2657.845
rest,poly_coeff,1350,24.141,159.103,1.9085,-22.9631,25.3724,-150.269,1493.268
rest,population_coupling,2790,251.8321,1838.455,1.7075,-3.6872,402.7032,-226.041,45677.806
rest,potential,690,-48.1558,152.6824,0.047,-376.3808,97.7167,-923.195,341.156
rest,probability,30,0.49,0.3514,0.4705,0.1067,1.2344,0.041,1.502
rest,rate,810,136.7668,391.8049,1.314,0.1985,875.4648,0.031,3655.932
rest,time_constant,240,0.5519,1.7277,0.0355,0.011,4.311,0.005,13.111
rest,tscale,180,14.1666,16.5667,7.518,1.778,48.685,1.692,74.849
